Latitude (decimal degrees):	61.499
Longitude (decimal degrees):	7.609
Elevation (m):	300
Radiation database:	PVGIS-SARAH3


Slope: 33 deg. (optimum)
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20220101:0011,0.0,0.0,-3.13,0.9,0.0
20220101:0111,0.0,0.0,-3.33,0.9,0.0
20220101:0211,0.0,0.0,-4.04,1.1,0.0
20220101:0311,0.0,0.0,-4.68,1.1,0.0
20220101:0411,0.0,0.0,-5.55,1.03,0.0
20220101:0511,0.0,0.0,-6.32,1.17,0.0
20220101:0611,0.0,0.0,-7.19,1.45,0.0
20220101:0711,0.0,0.0,-12.52,2.0,0.0
20220101:0811,0.0,0.0,-12.14,2.0,0.0
20220101:0911,0.0,0.0,-11.82,1.93,0.0
20220101:1011,3.56,3.91,-10.71,1.79,0.0
20220101:1111,5.34,5.38,-9.81,1.72,0.0
20220101:1211,7.12,5.14,-8.72,1.59,0.0
20220101:1311,2.67,3.2,-8.03,1.66,0.0
20220101:1411,0.0,0.0,-7.46,1.66,0.0
20220101:1511,0.0,0.0,-7.12,1.66,0.0
20220101:1611,0.0,0.0,-6.95,1.79,0.0
20220101:1711,0.0,0.0,-6.64,1.72,0.0
20220101:1811,0.0,0.0,-6.31,1.59,0.0
20220101:1911,0.0,0.0,-6.13,1.38,0.0
20220101:2011,0.0,0.0,-5.81,1.31,0.0
20220101:2111,0.0,0.0,-5.56,1.31,0.0
20220101:2211,0.0,0.0,-4.99,1.24,0.0
20220101:2311,0.0,0.0,-4.18,1.03,0.0
20220102:0011,0.0,0.0,-3.83,0.97,0.0
20220102:0111,0.0,0.0,-3.33,1.03,0.0
20220102:0211,0.0,0.0,-2.82,1.1,0.0
20220102:0311,0.0,0.0,-2.84,1.03,0.0
20220102:0411,0.0,0.0,-2.9,0.97,0.0
20220102:0511,0.0,0.0,-3.09,0.48,0.0
20220102:0611,0.0,0.0,-2.78,0.9,0.0
20220102:0711,0.0,0.0,-2.13,0.9,0.0
20220102:0811,0.0,0.0,-1.98,1.03,0.0
20220102:0911,0.0,0.0,-2.09,1.24,0.0
20220102:1011,3.56,3.98,-2.28,1.17,0.0
20220102:1111,8.9,5.46,-2.58,1.17,0.0
20220102:1211,5.34,5.23,-2.56,1.17,0.0
20220102:1311,2.67,3.3,-2.51,1.17,0.0
20220102:1411,0.0,0.0,-2.67,1.24,0.0
20220102:1511,0.0,0.0,-2.86,1.31,0.0
20220102:1611,0.0,0.0,-2.94,1.31,0.0
20220102:1711,0.0,0.0,-2.96,1.24,0.0
20220102:1811,0.0,0.0,-2.91,1.1,0.0
20220102:1911,0.0,0.0,-3.12,1.17,0.0
20220102:2011,0.0,0.0,-2.95,1.1,0.0
20220102:2111,0.0,0.0,-2.8,1.03,0.0
20220102:2211,0.0,0.0,-2.89,0.9,0.0
20220102:2311,0.0,0.0,-3.08,0.9,0.0
20220103:0011,0.0,0.0,-3.45,0.97,0.0
20220103:0111,0.0,0.0,-3.37,1.03,0.0
20220103:0211,0.0,0.0,-3.39,1.17,0.0
20220103:0311,0.0,0.0,-3.55,1.17,0.0
20220103:0411,0.0,0.0,-3.83,1.17,0.0
20220103:0511,0.0,0.0,-4.2,1.24,0.0
20220103:0611,0.0,0.0,-4.42,1.31,0.0
20220103:0711,0.0,0.0,-2.66,1.24,0.0
20220103:0811,0.0,0.0,-3.12,1.31,0.0
20220103:0911,0.0,0.0,-3.46,1.31,0.0
20220103:1011,15.12,4.05,-4.35,1.38,0.0
20220103:1111,5.34,5.55,-4.37,1.31,0.0
20220103:1211,5.34,5.33,-4.24,1.17,0.0
20220103:1311,2.67,3.41,-3.86,0.83,0.0
20220103:1411,0.0,0.0,-4.29,0.83,0.0
20220103:1511,0.0,0.0,-5.77,1.72,0.0
20220103:1611,0.0,0.0,-5.94,2.28,0.0
20220103:1711,0.0,0.0,-7.08,2.21,0.0
20220103:1811,0.0,0.0,-8.12,1.79,0.0
20220103:1911,0.0,0.0,-8.8,1.52,0.0
20220103:2011,0.0,0.0,-8.09,0.97,0.0
20220103:2111,0.0,0.0,-8.4,0.97,0.0
20220103:2211,0.0,0.0,-8.59,0.97,0.0
20220103:2311,0.0,0.0,-8.69,1.03,0.0
20220104:0011,0.0,0.0,-8.76,1.1,0.0
20220104:0111,0.0,0.0,-8.96,1.17,0.0
20220104:0211,0.0,0.0,-9.24,1.24,0.0
20220104:0311,0.0,0.0,-9.44,1.24,0.0
20220104:0411,0.0,0.0,-9.76,1.31,0.0
20220104:0511,0.0,0.0,-10.14,1.31,0.0
20220104:0611,0.0,0.0,-10.22,1.31,0.0
20220104:0711,0.0,0.0,-11.39,1.45,0.0
20220104:0811,0.0,0.0,-11.44,1.45,0.0
20220104:0911,0.0,0.0,-11.68,1.38,0.0
20220104:1011,9.79,4.14,-12.15,1.38,0.0
20220104:1111,33.81,5.65,-11.96,1.45,0.0
20220104:1211,32.92,5.44,-11.61,1.52,0.0
20220104:1311,2.67,3.53,-11.58,1.52,0.0
20220104:1411,0.0,0.0,-11.48,1.52,0.0
20220104:1511,0.0,0.0,-11.02,1.38,0.0
20220104:1611,0.0,0.0,-10.51,1.17,0.0
20220104:1711,0.0,0.0,-10.53,1.17,0.0
20220104:1811,0.0,0.0,-11.79,1.24,0.0
20220104:1911,0.0,0.0,-10.85,1.59,0.0
